"","strategy_rep","timepoint","mc_or_uni","rev_mut_ID","avg_workload","workload_sd","avg_growth_rate","growth_rate_sd","rel_fitness","num_iterations_F1","num_iterations_F2","proportion_fertile","label"
"5689",3451,"transition","uni","6_10",107.227272727273,111.066410549939,0.00305874348696432,0.000294166331066543,0.959761358487616,66,66,1,"DW.31"
"5690",3451,"transition","uni","6_11",94.0196078431373,104.188001266188,0.00310166507855813,0.000297382388309742,0.973229138715701,51,51,1,"DW.31"
"5691",3451,"transition","uni","6_12",114.036363636364,151.593995243675,0.00304553254030193,0.000262373011312273,0.955616075900293,55,55,1,"DW.31"
"5692",3451,"transition","uni","6_13",106.085106382979,126.044131296255,0.00303499303828678,0.00033107425500128,0.952309029456238,47,47,1,"DW.31"
"5693",3451,"transition","uni","6_14",131.611111111111,165.154749235281,0.00299481012422861,0.000310255423471144,0.939700581461557,54,54,1,"DW.31"
"5694",3451,"transition","uni","6_15",103.882352941176,123.536819945929,0.00297921522194616,0.000345191295611185,0.934807269987783,51,51,1,"DW.31"
"5695",3451,"transition","uni","6_16",86.9444444444444,107.856371417482,0.00300809102117113,0.000341394103329644,0.943867812792267,54,54,1,"DW.31"
"5696",3451,"transition","uni","6_17",85,113.446022407134,0.00307385734144629,0.000318534932781857,0.964503728539705,61,61,1,"DW.31"
"5697",3451,"transition","uni","6_18",109.326530612245,134.321347855789,0.00299684572116896,0.000322614938570056,0.940339303633953,49,49,1,"DW.31"
"5698",3451,"transition","uni","6_19",88.84,88.8806491645868,0.00305228393254808,0.000277300996917778,0.957734503098082,50,50,1,"DW.31"
"5699",3451,"transition","uni","6_20",164.551724137931,379.435461188726,0.00303723286407273,0.000330701318492694,0.953011833809809,58,58,1,"DW.31"
"5700",3451,"transition","uni","6_22",131.253968253968,170.494723052761,0.0030473655322492,0.000260776505601561,0.956191225418028,63,63,1,"DW.31"
"5701",3451,"transition","uni","6_25",128.296296296296,163.280130812353,0.0030023717972212,0.000302395550778054,0.942073255592204,54,54,1,"DW.31"
"5702",3451,"transition","uni","6_26",115.59649122807,167.110940443886,0.00303960720750679,0.000280310478651556,0.953756846619644,57,57,1,"DW.31"
"5703",3451,"transition","uni","6_27",95.3207547169811,119.639968492799,0.00304870767110246,0.000289865006522706,0.956612356844895,53,53,1,"DW.31"
"5704",3451,"transition","uni","6_29",106.867924528302,147.156122972515,0.0029411745648939,0.000343659992394206,0.92287101157127,53,53,1,"DW.31"
"5705",3451,"transition","uni","6_31",129.589285714286,118.032780775776,0.00305681273381301,0.000266199012120093,0.959155533816375,56,56,1,"DW.31"
"5706",3451,"transition","uni","6_32",103.272727272727,118.217992312058,0.00304121399955033,0.000296159665479243,0.954261019957843,66,66,1,"DW.31"
"5707",3451,"transition","uni","6_34",69.3333333333333,81.8751776513929,0.00299233464027787,0.000287857017533828,0.938923833149839,42,42,1,"DW.31"
"5708",3451,"transition","uni","8_32",99.2698412698413,103.700904644887,0.00306698812145183,0.000308905124755928,0.962348329781446,63,63,1,"DW.31"
"5709",3451,"transition","uni","11_32",110.310344827586,142.477847696017,0.00295479625717212,0.000353543657389539,0.927145176417573,58,58,1,"DW.31"
"5710",3451,"transition","uni","12_32",119.4,141.879526359514,0.00303761069439019,0.000293121623620677,0.953130388026699,55,55,1,"DW.31"
"5711",3451,"transition","uni","13_32",104.458333333333,143.827313467543,0.00302701146078037,0.000327705660526419,0.949804599221054,48,48,1,"DW.31"
"5712",3451,"transition","uni","14_30",114.809523809524,139.906456221472,0.00300485872350075,0.000343195931692396,0.942853594236058,42,42,1,"DW.31"
"5713",3451,"transition","uni","14_32",115.660714285714,164.654931382487,0.00296818932597137,0.000314253209893635,0.931347604623754,56,56,1,"DW.31"
"5714",3451,"transition","uni","15_30",140.272727272727,270.104743369257,0.00292707669982446,0.000342188486993412,0.918447434965879,55,55,1,"DW.31"
"5715",3451,"transition","uni","15_32",90.3846153846154,135.515306109846,0.00301901486777853,0.000274482086933342,0.947295457478562,52,52,1,"DW.31"
"5716",3451,"transition","uni","17_0",105.116666666667,133.908024552482,0.00301322526878856,0.000316067883513215,0.945478818255496,60,60,1,"DW.31"
